Date,Pilot Code,Vehicle Code,Station Code,Start Time,End Time,Distance,Total collection
10-06-2024,1681,2342,511,07:43:01,19:05:11,0,1124
10-06-2024,1236,2343,511,08:48:37,18:50:33,108.1,1010
10-06-2024,1152,2349,504,07:38:23,17:39:05,132.1,1506
10-06-2024,1149,2355,504,08:14:18,19:52:57,159.4,1608
10-06-2024,1181,2319,504,10:12:46,19:42:01,113.3,1301
11-06-2024,1152,2349,504,07:03:57,20:13:57,166.7,1800
11-06-2024,1022,2016,503,08:37:50,17:33:21,105.5,1235
11-06-2024,1017,2023,504,07:50:06,18:07:07,154.5,1461
11-06-2024,1023,2026,503,08:32:46,18:27:45,113.5,1208
11-06-2024,1048,2044,504,07:46:07,16:22:24,124.9,1515
11-06-2024,1115,2054,503,08:05:16,18:12:24,108,1202
11-06-2024,1116,2112,503,08:24:33,17:53:03,100.9,1188
11-06-2024,1685,2293,511,07:34:36,19:52:19,0,1105
11-06-2024,1227,2316,504,08:52:22,21:07:54,154.9,1508
11-06-2024,1265,2328,504,07:42:07,20:30:04,144.6,1723
11-06-2024,1681,2342,511,08:02:31,20:00:20,0,1034
11-06-2024,1149,2355,504,07:37:45,20:06:40,181.2,1905
11-06-2024,1055,2055,504,10:27:04,18:25:27,0,880
11-06-2024,1150,2287,511,09:29:25,18:52:57,80.1,825
11-06-2024,1112,2297,511,09:25:57,19:08:47,0,1301
11-06-2024,1181,2319,504,10:45:03,19:57:29,94.7,1234
12-06-2024,1055,2055,504,06:03:29,18:44:52,0,917
12-06-2024,1237,2307,504,06:56:26,20:09:56,0,1427
12-06-2024,1152,2349,504,07:06:12,19:16:04,159,1650
12-06-2024,1022,2016,503,08:36:52,17:05:07,104.2,1234
12-06-2024,1017,2023,504,08:02:17,14:51:30,102.7,1120
12-06-2024,1023,2026,503,08:27:08,19:17:50,120.1,1289
12-06-2024,1048,2044,504,07:59:10,18:25:59,159.9,1575
12-06-2024,1115,2054,503,08:23:18,18:33:21,102.9,1267
12-06-2024,1116,2112,503,08:38:10,19:04:14,101.6,1111
12-06-2024,1685,2293,511,07:30:47,20:35:03,0,497
12-06-2024,1112,2297,511,09:02:16,17:57:56,0,1398
12-06-2024,1265,2328,504,08:09:14,19:18:04,150.7,1616
12-06-2024,1681,2342,511,09:00:48,20:46:18,0,572
12-06-2024,1149,2355,504,07:44:03,19:37:40,156.7,1618
12-06-2024,1150,2287,511,09:27:41,19:06:13,74.1,842
12-06-2024,1227,2316,504,09:40:56,22:06:45,130.8,1415
12-06-2024,1181,2319,504,10:27:25,19:20:18,124.1,1221
12-06-2024,1236,2343,511,09:55:20,18:33:07,93.4,954
13-06-2024,1265,2328,504,07:24:06,19:25:42,137.7,1637
13-06-2024,1023,2026,503,08:29:32,17:16:20,107.1,1231
13-06-2024,1048,2044,504,07:39:09,15:44:03,95,1531
13-06-2024,1116,2112,503,08:20:52,18:40:10,91.6,1216
13-06-2024,1685,2293,511,07:36:01,20:27:50,0,1281
13-06-2024,1237,2307,504,07:48:02,17:15:47,0,987
13-06-2024,1227,2316,504,08:28:29,21:56:19,147.2,1508
13-06-2024,1681,2342,511,08:10:10,20:17:58,0,922
13-06-2024,1149,2355,504,07:50:46,19:22:36,138,1520
13-06-2024,1150,2287,511,09:49:56,19:45:11,79.8,862
13-06-2024,1112,2297,511,09:33:41,18:32:52,0,847
13-06-2024,1181,2319,504,09:11:41,19:46:30,123.8,1219
13-06-2024,1226,2329,504,09:54:39,21:31:01,133.5,1212
13-06-2024,1236,2343,511,09:20:44,18:37:12,67.3,648
14-06-2024,1237,2307,504,07:07:28,19:14:00,0,1485
14-06-2024,1152,2349,504,07:25:04,12:34:29,0,874
14-06-2024,1022,2016,503,08:36:15,17:18:00,107.7,1227
14-06-2024,1017,2023,504,08:01:52,16:47:28,107.3,1234
14-06-2024,1023,2026,503,08:33:17,16:49:21,97.6,1241
14-06-2024,1048,2044,504,08:17:01,15:55:10,83.1,1012
14-06-2024,1115,2054,503,08:20:43,17:34:48,106.5,1223
14-06-2024,1116,2112,503,08:44:15,19:06:54,114.2,1234
14-06-2024,1375,2295,511,07:40:54,20:36:19,119.7,1248
14-06-2024,1227,2316,504,08:07:13,21:37:21,136.6,1306
14-06-2024,1265,2328,504,07:58:59,19:12:02,135.7,1601
14-06-2024,1681,2342,511,07:50:47,21:04:07,0,1453
14-06-2024,1055,2055,504,09:10:44,17:32:11,106.3,1138
14-06-2024,1108,2110,504,10:10:03,19:36:38,0,1339
14-06-2024,1150,2287,511,09:19:26,19:29:32,101.8,1062
14-06-2024,1685,2293,511,10:06:46,21:44:28,0,1236
14-06-2024,1112,2297,511,09:05:49,20:35:38,0,1087
14-06-2024,1181,2319,504,10:12:34,19:51:08,84.5,1000
14-06-2024,1226,2329,504,10:30:15,21:25:06,124.9,1225
14-06-2024,1236,2343,511,09:36:41,19:15:41,96.1,978
15-06-2024,1237,2307,504,06:55:16,19:49:57,0,1271
15-06-2024,1152,2349,504,07:13:01,21:10:36,142.8,1492
15-06-2024,1017,2023,504,08:19:22,18:54:53,139.2,1507
15-06-2024,1023,2026,503,09:01:47,17:48:02,111.4,1267
15-06-2024,1048,2044,504,07:48:48,16:52:57,106.5,1581
15-06-2024,1115,2054,503,08:23:38,17:44:40,105.3,1256
15-06-2024,1108,2110,504,08:21:46,19:28:04,0,1247
15-06-2024,1116,2112,503,08:36:52,18:29:52,110.7,1211
15-06-2024,1375,2295,511,08:28:02,20:35:58,120.6,1301
15-06-2024,1112,2297,511,08:51:17,19:03:39,0,1234
15-06-2024,1265,2328,504,08:34:57,20:12:48,147.2,1624
15-06-2024,1226,2329,504,07:57:21,18:30:08,137.1,1394
15-06-2024,1681,2342,511,08:28:19,19:35:19,0,1154
15-06-2024,1236,2343,511,08:54:19,19:13:11,100.8,1133
15-06-2024,1149,2355,504,08:07:36,20:49:29,142.6,1527
15-06-2024,1022,2016,503,10:03:26,17:41:24,94,1219
15-06-2024,1055,2055,504,09:45:51,22:03:05,162.4,2036
15-06-2024,1150,2287,511,09:12:26,19:25:14,119.1,1240
15-06-2024,1685,2293,511,09:50:30,20:15:04,0,1351
15-06-2024,1227,2316,504,09:56:50,20:45:31,123.5,1222
15-06-2024,1181,2319,504,09:09:20,20:16:42,104.6,1305
16-06-2024,1237,2307,504,06:11:03,19:01:40,0,1205
16-06-2024,1017,2023,504,08:31:55,16:39:35,90.7,1129
16-06-2024,1115,2054,503,08:21:51,18:36:40,120.8,1369
16-06-2024,1108,2110,504,07:52:44,17:38:36,0,1086
16-06-2024,1116,2112,503,08:29:08,17:31:42,96.7,1213
16-06-2024,1226,2329,504,07:39:29,22:06:21,107.1,1295
16-06-2024,1681,2342,511,07:55:32,21:14:53,0,1541
16-06-2024,1149,2355,504,07:47:38,18:58:10,148.8,1620
16-06-2024,1055,2055,504,11:04:47,22:00:01,137.5,1602
16-06-2024,1150,2287,511,09:27:14,19:02:00,102.6,1045
16-06-2024,1227,2316,504,09:31:46,20:01:43,137.2,1305
16-06-2024,1181,2319,504,10:10:45,19:38:32,88.2,1016
16-06-2024,1236,2343,511,10:02:14,18:46:29,83.5,840
17-06-2024,1152,2349,504,07:08:43,20:54:13,96.8,1060
17-06-2024,1017,2023,504,07:48:52,17:31:13,154.9,1597
17-06-2024,1115,2054,503,08:00:45,16:03:45,112.7,1252
17-06-2024,1116,2112,503,08:35:51,17:30:12,122.2,1289
17-06-2024,1375,2295,511,07:51:06,19:45:10,103.8,1172
17-06-2024,1112,2297,511,08:00:19,19:24:12,0,1204
17-06-2024,1226,2329,504,07:45:03,17:28:00,154,1474
17-06-2024,1681,2342,511,08:07:28,19:51:28,0,1181
17-06-2024,1149,2355,504,08:28:34,19:28:04,182.1,1817
17-06-2024,1181,2319,504,09:30:52,20:05:50,142.3,1231
18-06-2024,1226,2329,504,07:07:39,19:11:08,177.8,1767
18-06-2024,1152,2349,504,07:15:03,17:47:14,142.8,1407
18-06-2024,1022,2016,503,08:25:19,16:40:29,115.1,1241
18-06-2024,1017,2023,504,07:41:47,18:29:06,175.4,1706
18-06-2024,1023,2026,503,08:31:00,17:14:00,115,1227
18-06-2024,1115,2054,503,08:11:54,18:00:04,106.4,1232
18-06-2024,1108,2110,504,07:49:42,17:28:48,0,1450
18-06-2024,1116,2112,503,08:21:05,18:28:23,104.8,1211
18-06-2024,1685,2293,511,08:17:40,20:52:30,0,1376
18-06-2024,1375,2295,511,07:38:10,17:00:20,121.4,1004
18-06-2024,1149,2355,504,07:41:16,19:53:44,185.3,1871
18-06-2024,1055,2055,504,09:50:51,18:58:46,135.5,1523
18-06-2024,1112,2297,511,09:25:47,17:55:28,0,1004
18-06-2024,1227,2316,504,09:10:46,20:38:33,142.5,1519
18-06-2024,1181,2319,504,09:13:06,19:41:08,131.9,1526
18-06-2024,1236,2343,511,11:15:03,18:03:35,56.1,536
19-06-2024,1226,2329,504,07:13:10,18:13:10,155.7,1646
19-06-2024,1152,2349,504,07:07:26,19:54:18,150.3,1604
19-06-2024,1022,2016,503,08:22:36,17:46:32,110.8,1284
19-06-2024,1017,2023,504,08:39:07,17:25:42,114.6,1230
19-06-2024,1023,2026,503,08:34:39,17:56:33,106.7,1255
19-06-2024,1048,2044,504,07:45:40,17:20:50,134.4,1514
19-06-2024,1115,2054,503,08:09:20,17:49:43,98.5,1242
19-06-2024,1055,2055,504,08:26:02,21:12:30,165.8,1847
19-06-2024,1108,2110,504,08:19:07,18:29:31,0,1449
19-06-2024,1116,2112,503,08:15:52,19:11:45,95.2,1090
19-06-2024,1685,2293,511,08:05:13,21:05:27,0,1293
19-06-2024,1375,2295,511,07:41:57,19:32:22,100.1,802
19-06-2024,1112,2297,511,08:51:15,19:26:08,0,1226
19-06-2024,1227,2316,504,08:55:22,21:08:31,133.6,1442
19-06-2024,1681,2342,511,07:32:02,21:32:27,0,1306
19-06-2024,1149,2355,504,08:20:06,19:23:05,154.7,1613
19-06-2024,1237,2307,504,09:15:46,18:33:47,0,1219
19-06-2024,1181,2319,504,10:09:21,20:12:23,106.5,1232
19-06-2024,1236,2343,511,09:34:33,19:38:04,113.7,1181
20-06-2024,1055,2055,504,06:32:25,22:00:31,162.2,1718
20-06-2024,1685,2293,511,07:09:45,20:09:24,0,1035
20-06-2024,1265,2328,504,07:00:13,20:03:06,140,1728
20-06-2024,1226,2329,504,07:24:33,19:14:58,175.1,1680
20-06-2024,1152,2349,504,07:02:35,18:34:56,166,1699
20-06-2024,1022,2016,503,08:36:15,17:41:25,107.4,1219
20-06-2024,1017,2023,504,07:52:12,18:32:40,139.5,1484
20-06-2024,1023,2026,503,08:54:21,19:50:40,98.5,1201
20-06-2024,1048,2044,504,08:18:19,18:06:44,126.3,1424
20-06-2024,1115,2054,503,08:21:50,18:00:52,116.7,1257
20-06-2024,1108,2110,504,08:09:32,17:44:34,0,1331
20-06-2024,1116,2112,503,08:24:06,18:08:38,105.6,1100
20-06-2024,1150,2287,511,09:00:51,19:20:48,84,839
20-06-2024,1375,2295,511,08:29:09,19:45:20,47,624
20-06-2024,1112,2297,511,08:45:35,19:27:49,0,805
20-06-2024,1237,2307,504,08:24:37,19:53:44,0,1222
20-06-2024,1681,2342,511,08:29:34,19:52:54,0,782
20-06-2024,1149,2355,504,07:45:10,19:18:46,165.3,1688
20-06-2024,1227,2316,504,09:35:05,21:51:55,145.6,1501
20-06-2024,1236,2343,511,09:23:42,17:18:34,43.4,451
21-06-2024,1237,2307,504,06:26:05,19:07:19,0,1525
21-06-2024,1265,2328,504,07:10:05,20:43:29,145.1,1628
21-06-2024,1022,2016,503,08:36:34,18:03:26,90.5,1086
21-06-2024,1017,2023,504,08:08:35,18:52:43,149.2,1364
21-06-2024,1023,2026,503,08:22:08,17:27:36,115.8,1263
21-06-2024,1048,2044,504,07:52:39,17:44:43,130.7,1512
21-06-2024,1115,2054,503,08:25:58,18:13:59,99.6,1077
21-06-2024,1055,2055,504,07:38:05,21:57:03,188.4,2032
21-06-2024,1108,2110,504,08:12:50,18:49:56,0,1200
21-06-2024,1685,2293,511,08:06:54,19:42:27,0,1398
21-06-2024,1375,2295,511,08:08:22,19:46:31,90.7,943
21-06-2024,1681,2342,511,08:29:33,20:17:57,0,1067
21-06-2024,1152,2349,504,07:27:24,20:18:36,154.7,1634
21-06-2024,1149,2355,504,08:14:16,20:11:09,138.3,1415
21-06-2024,1150,2287,511,09:10:39,19:43:04,97.2,992
21-06-2024,1112,2297,511,09:11:28,20:19:13,0,1202
21-06-2024,1227,2316,504,09:12:17,21:47:28,112.6,1207
21-06-2024,1181,2319,504,09:19:33,18:38:04,103.6,1200
22-06-2024,1237,2307,504,06:38:30,21:16:24,0,1427
22-06-2024,1265,2328,504,06:36:53,19:59:53,133.8,1620
22-06-2024,1152,2349,504,07:03:20,17:33:42,141.2,1579
22-06-2024,1022,2016,503,08:15:50,16:49:15,90.3,1233
22-06-2024,1017,2023,504,08:17:11,19:10:35,90.8,948
22-06-2024,1023,2026,503,08:43:46,17:42:38,114.4,1282
22-06-2024,1048,2044,504,08:19:16,14:42:50,70.7,1015
22-06-2024,1115,2054,503,08:25:45,17:46:42,110.9,1248
22-06-2024,1055,2055,504,07:41:23,21:41:03,171.4,1836
22-06-2024,1108,2110,504,08:28:28,17:19:36,0,1070
22-06-2024,1375,2295,511,07:44:25,18:27:01,133.5,1396
22-06-2024,1681,2342,511,08:32:38,19:29:34,0,1026
22-06-2024,1149,2355,504,08:39:49,20:05:58,164.3,1664
22-06-2024,1150,2287,511,09:17:53,19:19:45,90,878
22-06-2024,1685,2293,511,09:09:59,20:20:46,0,1338
22-06-2024,1112,2297,511,09:32:29,16:20:36,0,1014
22-06-2024,1227,2316,504,09:45:56,21:38:05,110.9,1339
22-06-2024,1181,2319,504,09:37:50,20:17:05,103,1214
23-06-2024,1237,2307,504,06:15:33,19:57:19,0,1702
23-06-2024,1226,2329,504,07:10:17,16:18:29,48.2,365
23-06-2024,1023,2026,503,08:59:37,17:19:13,101.1,1046
23-06-2024,1115,2054,503,08:28:55,17:22:15,88.9,1041
23-06-2024,1265,2328,504,07:31:17,20:34:52,142.2,1612
23-06-2024,1681,2342,511,08:02:25,19:21:55,0,1209
23-06-2024,1152,2349,504,07:51:47,20:03:50,146.3,1554
23-06-2024,1149,2355,504,08:55:37,19:33:14,163.9,1696
23-06-2024,1150,2287,511,10:08:18,18:58:35,99.5,1020
23-06-2024,1227,2316,504,09:28:03,20:58:29,132.8,1402
23-06-2024,1181,2319,504,10:19:08,20:04:58,95.5,1206
23-06-2024,1236,2343,511,10:00:30,19:10:05,85.6,927
24-06-2024,1237,2307,504,06:52:43,19:14:21,0,1213
24-06-2024,1265,2328,504,07:23:45,19:26:14,145.8,1633
24-06-2024,1152,2349,504,07:11:39,16:46:23,112,1236
24-06-2024,1022,2016,503,08:23:27,18:13:44,107.8,1207
24-06-2024,1017,2023,504,08:10:51,17:05:53,126.5,1328
24-06-2024,1023,2026,503,08:37:11,17:42:11,95.9,1127
24-06-2024,1048,2044,504,07:27:22,17:42:10,113.8,1416
24-06-2024,1115,2054,503,08:25:56,18:41:16,103,1238
24-06-2024,1055,2055,504,07:51:16,21:31:01,186.7,2032
24-06-2024,1108,2110,504,07:58:27,17:14:06,0,1354
24-06-2024,1685,2293,511,07:35:03,19:20:22,0,1545
24-06-2024,1227,2316,504,07:25:51,20:22:22,150.3,1402
24-06-2024,1681,2342,511,07:41:21,19:03:28,0,1260
24-06-2024,1149,2355,504,07:59:00,19:58:29,151.5,1546
24-06-2024,1116,2112,503,09:59:44,18:36:06,99.4,1102
24-06-2024,1112,2297,511,09:20:03,18:06:46,0,1320
24-06-2024,1181,2319,504,10:03:59,20:11:03,103.9,1225
24-06-2024,1236,2343,511,09:22:16,18:49:43,107,1385
25-06-2024,1685,2293,511,07:20:52,19:55:21,0,1539
25-06-2024,1237,2307,504,06:25:17,11:56:01,0,764
25-06-2024,1226,2329,504,06:30:56,21:26:52,152.7,1677
25-06-2024,1681,2342,511,07:09:56,19:31:53,0,1165
25-06-2024,1022,2016,503,08:39:10,18:02:25,79.7,611
25-06-2024,1017,2023,504,08:21:35,17:01:39,125.5,1311
25-06-2024,1023,2026,503,08:37:34,17:42:14,90.9,1021
25-06-2024,1048,2044,504,08:28:03,17:43:04,118.2,1265
25-06-2024,1115,2054,503,08:27:43,18:23:15,102.6,1246
25-06-2024,1055,2055,504,07:28:06,22:00:37,184.1,2014
25-06-2024,1108,2110,504,07:57:48,08:13:14,0,113
25-06-2024,1375,2295,511,07:27:11,19:39:33,108,1165
25-06-2024,1227,2316,504,07:48:58,21:09:44,154.4,1532
